order_id,order_date,product_name,quantity,price,refund_status,cogs,customer_name,customer_email,shipping_address,Shipping Cost (Rs),Taxes (Rs),,Gross Revenue
16,8/26/2020,Honorable,95,825.97,pending,344.01,Koenraad Maden,kmadenf@europa.eu,97476 Randy Drive,250,45,,78467.15
17,4/7/2021,Honorable,90,47.6,processed,117.06,Tristam Guidetti,tguidettig@smugmug.com,95 Cordelia Circle,250,46,,4284
18,7/5/2020,Mrs,100,743.63,processed,374.6,Neysa Coughlan,ncoughlanh@purevolume.com,3 Porter Pass,250,47,,74363
19,6/21/2021,Ms,7,87.07,pending,281.9,Lanette Schurig,lschurigi@pinterest.com,03 Birchwood Trail,250,48,,609.49
20,6/7/2020,Mr,72,605.26,refunded,473.93,Kania Sebright,ksebrightj@nydailynews.com,40 Everett Circle,250,49,,43578.72
21,5/15/2021,Mr,89,18.84,processed,36.13,Anni Plackstone,aplackstonek@stanford.edu,2 Daystar Street,250,50,,1676.76
22,8/27/2021,Dr,2,50.96,pending,479.64,Melodee Wait,mwaitl@tmall.com,2837 Michigan Alley,250,51,,101.92
23,1/7/2021,Mrs,95,987.21,pending,274.01,Cacilia Depport,cdepportm@csmonitor.com,921 Bellgrove Point,250,52,,93784.95
24,6/16/2021,Ms,8,915.51,pending,78.98,Farrel O'Hallagan,fohallagann@w3.org,083 Arizona Point,250,53,,7324.08
25,9/30/2021,Mr,90,138.11,processed,142.18,Wash Kemmet,wkemmeto@free.fr,4022 Forest Dale Lane,250,54,,12429.9
26,2/15/2021,Honorable,68,726.93,processed,357.32,Caprice Fidilis,cfidilisp@tripadvisor.com,6 Talmadge Road,250,55,,49431.24
27,4/28/2020,Dr,81,803.38,pending,423.7,Missie Patroni,mpatroniq@so-net.ne.jp,75 Warbler Court,250,56,,65073.78
28,1/13/2020,Honorable,10,369.97,pending,121.24,Averil Kingswood,akingswoodr@techcrunch.com,022 Almo Road,250,57,,3699.7
29,6/11/2020,Dr,97,338.93,refunded,402.22,Rebeka Newens,rnewenss@wufoo.com,30 Birchwood Road,250,58,,32876.21
30,5/30/2021,Honorable,46,351.4,refunded,286.58,Virge Gergely,vgergelyt@imdb.com,577 Artisan Park,250,59,,16164.4
31,4/3/2020,Ms,81,452.88,processed,169.26,Cosette Hatherley,chatherleyu@skyrock.com,02368 Stephen Parkway,250,60,,36683.28
32,8/17/2020,Ms,94,885.57,processed,415.05,Rory Druery,rdrueryv@cbsnews.com,2104 High Crossing Hill,250,61,,83243.58
33,5/19/2021,Dr,38,512.5,processed,224.22,Lindie Whitta,lwhittaw@edublogs.org,67250 Buell Avenue,250,62,,19475
34,11/13/2021,Honorable,17,566.84,refunded,210.77,Haskel Richel,hrichelx@moonfruit.com,822 Armistice Point,250,63,,9636.28
35,11/8/2020,Mr,73,210.35,pending,359.2,Nesta MacGiolla,nmacgiollay@indiatimes.com,34 Bashford Court,250,64,,15355.55
36,11/22/2021,Rev,31,523.81,refunded,427.15,Ewan Lockett,elockettz@baidu.com,8522 Merchant Lane,250,65,,16238.11
37,7/20/2020,Mr,25,524.17,refunded,463.57,Hymie Grennan,hgrennan10@slashdot.org,6 Susan Place,250,66,,13104.25
38,7/14/2021,Mr,70,820.2,refunded,35.42,Hilliary Smalridge,hsmalridge11@fda.gov,08688 Pierstorff Park,250,67,,57414
39,4/4/2020,Mr,34,691.89,processed,381.83,Sianna Ing,sing12@springer.com,883 Arrowood Avenue,250,68,,23524.26
40,1/23/2021,Mr,21,730.42,refunded,485.54,Car Michelet,cmichelet13@paginegialle.it,768 Ryan Point,250,69,,15338.82
41,3/3/2020,Mr,88,496.19,processed,286.07,Celisse Cheese,ccheese14@mapy.cz,7 Pepper Wood Circle,250,70,,43664.72
42,12/17/2021,Ms,66,905.25,refunded,355.8,Waylan Wragg,wwragg15@independent.co.uk,84 Derek Place,250,71,,59746.5
43,9/17/2020,Rev,35,336.02,processed,94.32,Shaylah Auty,sauty16@edublogs.org,517 Hudson Hill,250,72,,11760.7
44,8/14/2021,Honorable,5,526.58,refunded,188.44,Lucias Northing,lnorthing17@twitter.com,563 Harbort Alley,250,73,,2632.9
45,7/14/2020,Honorable,30,462.67,processed,16.88,Darryl Widdison,dwiddison18@mysql.com,4 Luster Avenue,250,74,,13880.1
46,5/12/2020,Ms,21,458.06,pending,438.49,Gareth Zanussii,gzanussii19@un.org,17 Rockefeller Terrace,250,75,,9619.26
47,11/8/2020,Ms,86,163.61,pending,72.89,Pearla Bonnick,pbonnick1a@newyorker.com,807 Lukken Avenue,250,76,,14070.46
48,2/26/2020,Mr,88,258.53,processed,470.87,Warren Eglington,weglington1b@theglobeandmail.com,03 Iowa Road,250,77,,22750.64
49,6/12/2020,Ms,54,255.08,refunded,70.93,Cecilia Stormes,cstormes1c@elpais.com,84 Di Loreto Center,250,78,,13774.32
50,10/19/2021,Dr,62,417.01,pending,20.96,Lyle Fawdrie,lfawdrie1d@sina.com.cn,1112 Macpherson Park,250,79,,25854.62
51,6/19/2021,Rev,16,576.89,processed,413.61,Dareen Cockrell,dcockrell1e@studiopress.com,853 Trailsway Place,250,80,,9230.24
52,5/27/2021,Dr,47,733.95,processed,187.9,Kirby McCome,kmccome1f@sciencedirect.com,737 Harbort Road,250,81,,34495.65
53,2/19/2021,Honorable,96,685.7,pending,343.72,Aland Kirkness,akirkness1g@pcworld.com,04824 Mayfield Crossing,250,82,,65827.2
54,9/5/2020,Honorable,9,856.7,processed,341.42,Elnora Silbermann,esilbermann1h@mediafire.com,416 Golf Course Avenue,250,83,,7710.3
55,3/25/2021,Mr,53,971.12,processed,42.42,Linn Silby,lsilby1i@msn.com,1 Warbler Drive,250,84,,51469.36
56,11/1/2020,Mrs,98,513.89,pending,141.5,Thacher Tilbury,ttilbury1j@omniture.com,143 Artisan Way,250,85,,50361.22
57,7/17/2021,Dr,38,945.14,refunded,13.67,Jillayne Teare,jteare1k@state.gov,1 1st Hill,250,86,,35915.32
58,10/22/2020,Mrs,30,113.52,processed,316.07,Perl Slaight,pslaight1l@163.com,9 Utah Street,250,87,,3405.6
59,5/7/2021,Rev,14,524.1,refunded,126.32,Letisha Munsey,lmunsey1m@oakley.com,4982 Maryland Way,250,88,,7337.4
60,1/2/2021,Mr,55,635.53,processed,435.22,Ellwood Koene,ekoene1n@elegantthemes.com,31560 Grover Court,250,89,,34954.15
61,2/20/2021,Dr,43,147.38,processed,440.02,Aurea Gurnell,agurnell1o@amazon.co.uk,157 Hermina Avenue,250,90,,6337.34
62,12/17/2021,Rev,12,37.8,pending,57.01,Philis Snoad,psnoad1p@cdbaby.com,691 Debra Street,250,91,,453.6
63,8/9/2020,Ms,66,866.7,pending,462.8,Taddeo Dalton,tdalton1q@scribd.com,56 Kings Road,250,92,,57202.2
64,11/6/2021,Mrs,1,235.4,pending,208.61,Gleda Giacomoni,ggiacomoni1r@vimeo.com,801 Nevada Alley,250,93,,235.4
65,12/8/2021,Mrs,13,530.55,pending,12.7,Guglielmo Brauns,gbrauns1s@forbes.com,6339 7th Court,250,94,,6897.15
66,10/25/2020,Honorable,97,986.65,pending,147.49,Valdemar Crayden,vcrayden1t@123-reg.co.uk,5 Schurz Way,250,95,,95705.05
67,9/4/2020,Rev,24,413.73,pending,227.5,Samaria Merrell,smerrell1u@who.int,3865 Summer Ridge Plaza,250,96,,9929.52
68,3/9/2020,Mrs,61,347.04,refunded,478.89,Sinclare MacNamara,smacnamara1v@indiegogo.com,312 Butterfield Center,250,97,,21169.44
69,2/7/2021,Honorable,92,716.97,processed,276.03,Melanie Frankiewicz,mfrankiewicz1w@nps.gov,624 Maywood Terrace,250,98,,65961.24
70,2/10/2021,Dr,38,341.58,refunded,159.68,Leonore Errigo,lerrigo1x@ftc.gov,70 Hovde Trail,250,99,,12980.04
71,11/10/2020,Ms,86,918.64,pending,248.95,Heida Blazejewski,hblazejewski1y@telegraph.co.uk,3 Nelson Road,250,100,,79003.04
72,2/27/2021,Dr,4,434.4,refunded,57.4,Jobyna Fearnill,jfearnill1z@hc360.com,37434 Linden Junction,250,101,,1737.6
73,10/24/2020,Ms,6,168.75,refunded,114.4,Andi Juzek,ajuzek20@cbslocal.com,625 Tomscot Drive,250,102,,1012.5
74,9/10/2021,Mr,75,328.78,refunded,178.5,Alisha Reader,areader21@unc.edu,3 Mosinee Avenue,250,103,,24658.5
75,1/22/2021,Rev,9,308.04,refunded,331.95,Osbourne Mein,omein22@paypal.com,0 Farwell Trail,250,104,,2772.36
76,1/5/2020,Mrs,98,685.23,pending,86.4,Arny Huckerbe,ahuckerbe23@earthlink.net,2759 John Wall Way,250,105,,67152.54
77,10/19/2020,Ms,26,301.88,pending,140.98,Devon Wakeley,dwakeley24@state.tx.us,329 Leroy Junction,250,106,,7848.88
78,1/10/2020,Honorable,19,742.63,pending,163.74,Ber Coatman,bcoatman25@marketwatch.com,99078 Havey Point,250,107,,14109.97
79,9/16/2021,Mr,93,812.13,pending,442.21,Shanan O'Kerin,sokerin26@scribd.com,620 Jenna Terrace,250,108,,75528.09
80,1/30/2021,Ms,94,808.83,processed,46.16,Collin O'Doran,codoran27@washington.edu,80636 Utah Hill,250,109,,76030.02
81,2/24/2021,Rev,28,241,refunded,42.69,Morgana Cardoso,mcardoso28@g.co,763 Lindbergh Lane,250,110,,6748
82,2/18/2021,Honorable,81,870.47,pending,217.59,Pail Josofovitz,pjosofovitz29@state.tx.us,87738 Roth Park,250,111,,70508.07
83,8/23/2020,Dr,67,404.78,pending,481.72,Marten Trudgeon,mtrudgeon2a@accuweather.com,14608 Melby Court,250,112,,27120.26
84,10/24/2021,Mr,93,841.89,pending,54.09,Clywd Timlett,ctimlett2b@blogspot.com,0598 Kings Way,250,113,,78295.77
85,12/2/2020,Rev,80,242.46,processed,103.42,Cahra Hampe,champe2c@vkontakte.ru,8872 Stoughton Drive,250,114,,19396.8
86,1/20/2020,Dr,25,32.75,refunded,8.69,Almeda Kenwin,akenwin2d@biblegateway.com,0323 Kim Circle,250,115,,818.75
87,6/30/2020,Ms,87,845.2,pending,138.55,Mirna Wyleman,mwyleman2e@adobe.com,3507 Crowley Trail,250,116,,73532.4
88,5/22/2021,Ms,83,987.84,processed,326.62,Earvin Cuming,ecuming2f@chicagotribune.com,4576 Sachs Pass,250,117,,81990.72
89,11/5/2021,Mr,14,334.19,pending,285.12,Dukie Findon,dfindon2g@sbwire.com,873 Boyd Street,250,118,,4678.66
90,5/30/2020,Dr,66,301.61,refunded,16.96,Trevar Mathieu,tmathieu2h@npr.org,295 Lien Way,250,119,,19906.26
91,10/25/2020,Honorable,8,658.62,pending,88.21,Brent Couves,bcouves2i@seesaa.net,754 Burrows Terrace,250,120,,5268.96
92,11/20/2021,Honorable,98,814.2,processed,297.94,Vick Vickar,vvickar2j@cocolog-nifty.com,6780 Emmet Terrace,250,121,,79791.6
93,6/19/2021,Mr,60,491.46,pending,35.1,Bari Vaszoly,bvaszoly2k@reddit.com,36 Delladonna Trail,250,122,,29487.6
94,6/22/2021,Honorable,80,435.34,pending,290.78,Andonis Rainford,arainford2l@pbs.org,42890 Morning Trail,250,123,,34827.2
95,8/6/2021,Ms,22,922.33,processed,472.72,Shauna Graddell,sgraddell2m@lycos.com,8 Dryden Plaza,250,124,,20291.26
96,2/5/2020,Honorable,4,181.33,pending,413.91,Brian Shingles,bshingles2n@bravesites.com,3 Russell Place,250,125,,725.32
97,3/14/2020,Dr,98,21.26,pending,488.9,Shannan Proback,sproback2o@mlb.com,07 Lakewood Plaza,250,126,,2083.48
98,1/5/2021,Honorable,78,916.67,refunded,125.05,Tynan Sibbson,tsibbson2p@imgur.com,3 Ronald Regan Plaza,250,127,,71500.26
99,10/6/2020,Rev,81,695.54,processed,47.91,Ivar Falkner,ifalkner2q@cloudflare.com,33057 Prentice Road,250,128,,56338.74
100,9/16/2020,Mr,58,124.83,pending,408.05,Keely Lower,klower2r@wikia.com,02609 Kingsford Court,250,129,,7240.14
101,5/28/2020,Ms,91,857.05,processed,104.04,Ailina Dobie,adobie2s@fc2.com,499 Moose Avenue,250,130,,77991.55
102,7/20/2021,Mr,19,601.17,pending,306.17,Wylma Miliffe,wmiliffe2t@bbb.org,81015 Longview Way,250,131,,11422.23
103,3/11/2021,Mrs,12,819.32,refunded,90.23,Riley Forber,rforber2u@senate.gov,2 Sherman Point,250,132,,9831.84
104,5/22/2021,Mrs,98,728.41,pending,246.5,Carlene Paskerful,cpaskerful2v@latimes.com,7128 Ryan Center,250,133,,71384.18
105,5/8/2020,Mr,32,740.23,pending,135.44,Nora Paddock,npaddock2w@shutterfly.com,300 Forest Dale Court,250,134,,23687.36
106,6/8/2021,Honorable,61,867.08,refunded,314.31,Annice Bilsland,abilsland2x@google.com,86300 Hoffman Pass,250,135,,52891.88
107,8/28/2021,Mrs,51,782.71,processed,352.43,Dorice Leppington,dleppington2y@google.co.jp,89383 7th Place,250,136,,39918.21
108,8/5/2020,Mrs,48,324.07,refunded,111.44,Deborah Willeman,dwilleman2z@bloglines.com,2982 Mccormick Junction,250,137,,15555.36
109,3/26/2020,Rev,44,213.38,pending,99.22,Hunt Mose,hmose30@hostgator.com,8933 Norway Maple Hill,250,138,,9388.72
110,1/25/2021,Mrs,100,959.36,processed,311.54,Amalea Copping,acopping31@thetimes.co.uk,81265 Waywood Alley,250,139,,95936
111,9/18/2021,Rev,84,623.76,pending,245.87,Lorinda While,lwhile32@sakura.ne.jp,021 Continental Plaza,250,140,,52395.84
112,2/10/2020,Rev,47,310.37,pending,23.23,Donnajean Storie,dstorie33@theatlantic.com,01 Drewry Plaza,250,141,,14587.39
113,1/24/2021,Mr,84,890.7,processed,398.69,Richmond Vondra,rvondra34@printfriendly.com,786 Pawling Circle,250,142,,74818.8
114,12/23/2020,Honorable,30,983.81,refunded,442.44,Norrie Fittis,nfittis35@epa.gov,97663 Debra Pass,250,143,,29514.3
115,4/22/2021,Honorable,18,35.67,refunded,349.76,Lilly Lorroway,llorroway36@networkadvertising.org,3930 Bellgrove Lane,250,144,,642.06
116,6/13/2020,Mr,67,952.29,refunded,173.39,Julita Arbor,jarbor37@dailymotion.com,15903 Blaine Point,250,145,,63803.43
117,12/16/2021,Dr,16,760.96,pending,41.52,Madelon Defrain,mdefrain38@cbslocal.com,873 Westridge Place,250,146,,12175.36
118,10/8/2020,Mr,76,284.69,refunded,26.16,Maury Utridge,mutridge39@msn.com,49 Lawn Place,250,147,,21636.44
119,3/2/2021,Honorable,35,733.27,pending,85.42,Evangelina O'Dyvoy,eodyvoy3a@comcast.net,0079 Bartelt Terrace,250,148,,25664.45
120,4/11/2020,Rev,1,387.76,processed,348.15,Trixi Brear,tbrear3b@apache.org,5 Fairfield Hill,250,149,,387.76
121,2/6/2020,Honorable,20,613.13,pending,207.68,Jade Heaphy,jheaphy3c@marriott.com,35847 Larry Alley,250,150,,12262.6
122,3/8/2021,Ms,74,11.45,refunded,50.53,Gaye Fetter,gfetter3d@redcross.org,5628 Porter Drive,250,151,,847.3
123,4/6/2021,Mr,75,471.77,pending,81.42,Debee Moxham,dmoxham3e@cloudflare.com,9301 Bartillon Park,250,152,,35382.75
124,11/30/2021,Dr,6,631.01,pending,181.18,Dyanna Brokenshaw,dbrokenshaw3f@live.com,67948 Green Way,250,153,,3786.06
125,10/30/2020,Rev,21,181.81,pending,393.59,Eddie Scurlock,escurlock3g@cdc.gov,2307 Darwin Trail,250,154,,3818.01
126,7/10/2020,Mrs,26,832.73,refunded,110.56,Kimmi Battie,kbattie3h@cloudflare.com,41091 Burrows Lane,250,155,,21650.98
127,6/6/2021,Honorable,20,45.01,pending,341.26,Rianon Ravenhill,rravenhill3i@mapy.cz,73293 Village Terrace,250,156,,900.2
128,12/21/2020,Honorable,73,749.56,refunded,184.95,Mariann Beric,mberic3j@privacy.gov.au,4119 Loftsgordon Place,250,157,,54717.88
129,5/6/2020,Ms,92,66.92,processed,159.37,Lauralee Manueau,lmanueau3k@ow.ly,1753 American Drive,250,158,,6156.64
130,3/24/2020,Rev,19,966.05,refunded,178.27,Nikolai Newvill,nnewvill3l@163.com,4424 Larry Court,250,159,,18354.95
131,6/4/2021,Mrs,23,207.07,refunded,165.8,Delcina Ridsdole,dridsdole3m@harvard.edu,08419 Cordelia Alley,250,160,,4762.61
132,9/25/2021,Mr,98,45.82,pending,457.74,Ira Castellaccio,icastellaccio3n@xing.com,2685 Bonner Street,250,161,,4490.36
133,4/16/2020,Honorable,8,597.93,refunded,3.21,Audie Tabrett,atabrett3o@cnet.com,9 Goodland Trail,250,162,,4783.44
134,8/15/2020,Rev,23,725.71,refunded,227.43,Marcela Harrismith,mharrismith3p@nytimes.com,58 Independence Court,250,163,,16691.33
135,2/17/2020,Mrs,37,454.26,processed,218.59,Jarid Conlon,jconlon3q@theglobeandmail.com,289 Alpine Circle,250,164,,16807.62
136,2/14/2020,Dr,73,337.78,refunded,45.64,Adena Schooling,aschooling3r@zdnet.com,1 Lillian Trail,250,165,,24657.94
137,5/1/2020,Honorable,94,458.68,processed,259.09,Fairlie Larn,flarn3s@geocities.jp,24 Bartelt Road,250,166,,43115.92
138,2/18/2020,Rev,77,371.89,processed,56.32,Angelika Denyagin,adenyagin3t@wordpress.org,6219 Florence Court,250,167,,28635.53
139,10/7/2021,Ms,94,575.88,processed,459.71,Berri Toland,btoland3u@gmpg.org,02 Lien Pass,250,168,,54132.72
140,7/16/2021,Mrs,3,26.21,pending,51.12,Kikelia Filov,kfilov3v@bravesites.com,5 Westerfield Alley,250,169,,78.63
141,11/6/2021,Honorable,34,988.85,processed,131.12,Russell Cole,rcole3w@hhs.gov,1 Victoria Place,250,170,,33620.9
142,2/2/2021,Rev,90,444.02,processed,10.21,Clemmy Aksell,caksell3x@tripod.com,01 Dexter Center,250,171,,39961.8
143,8/30/2021,Mr,7,188.99,refunded,108.28,Shaylyn Wheelband,swheelband3y@va.gov,14250 Bluejay Drive,250,172,,1322.93
144,11/13/2021,Mrs,29,368.94,processed,448.75,Kesley Brader,kbrader3z@hhs.gov,83 Sunnyside Way,250,173,,10699.26
145,5/8/2020,Honorable,97,485.73,refunded,304.35,Rosemonde Griss,rgriss40@prnewswire.com,331 Carberry Circle,250,174,,47115.81
146,9/10/2020,Mrs,57,788.9,refunded,492.47,Winnah Gofforth,wgofforth41@livejournal.com,8 Cordelia Junction,250,175,,44967.3
147,1/6/2021,Dr,95,636.9,pending,200.02,Emmalyn Barthelemy,ebarthelemy42@blogs.com,23961 Stoughton Plaza,250,176,,60505.5
148,11/26/2021,Honorable,17,338.81,pending,343.3,Carey Rene,crene43@alexa.com,9 Sutherland Road,250,177,,5759.77
149,10/25/2020,Mrs,64,160.66,pending,489.8,Hanson Verry,hverry44@barnesandnoble.com,39667 Kingsford Park,250,178,,10282.24
150,12/20/2021,Mr,25,262.81,pending,171.41,Mylo Hedgeman,mhedgeman45@msn.com,26 Larry Circle,250,179,,6570.25
151,7/31/2020,Dr,63,730.06,pending,496.26,Ursuline Millam,umillam46@seattletimes.com,34 New Castle Alley,250,180,,45993.78
152,6/15/2021,Mr,44,466.89,pending,344.23,Annabell Kenewell,akenewell47@columbia.edu,26 Moland Point,250,181,,20543.16
153,12/28/2021,Rev,4,661.11,processed,6.85,Claudine Ishaki,cishaki48@ovh.net,56 Springs Crossing,250,182,,2644.44
154,3/23/2021,Rev,99,60.06,refunded,57.28,Amelina Durtnel,adurtnel49@blogspot.com,63 Surrey Pass,250,183,,5945.94
155,2/24/2020,Honorable,99,851.19,processed,182.47,Nefen Anshell,nanshell4a@irs.gov,5949 Sachs Crossing,250,184,,84267.81
156,2/10/2020,Honorable,62,934.48,pending,275.09,Pauly Rontsch,prontsch4b@google.it,05145 High Crossing Way,250,185,,57937.76
157,5/3/2021,Mr,93,117.54,refunded,234.68,Joyan Esp,jesp4c@fda.gov,66181 Scoville Drive,250,186,,10931.22
158,12/26/2020,Rev,83,0.25,refunded,317.13,Kerrin Kerman,kkerman4d@yahoo.com,9 Marquette Way,250,187,,20.75
159,9/28/2020,Dr,27,838.48,pending,382.27,Theodora Vidineev,tvidineev4e@flickr.com,942 Hazelcrest Place,250,188,,22638.96
160,5/27/2021,Honorable,22,444.46,pending,400.07,Arliene De Blasio,ade4f@people.com.cn,9 Monica Point,250,189,,9778.12
161,6/17/2021,Dr,29,13.43,processed,213.03,Arleta Gwilt,agwilt4g@sitemeter.com,47513 Thompson Terrace,250,190,,389.47
162,7/17/2020,Honorable,69,549.03,processed,426.22,Ty Wimpeney,twimpeney4h@fc2.com,20 Porter Junction,250,191,,37883.07
163,12/27/2021,Honorable,30,996.97,refunded,313.5,Ofelia Grayling,ograyling4i@yellowbook.com,26579 Heath Point,250,192,,29909.1
164,1/1/2020,Ms,57,213.84,pending,391.41,Gabbey Peto,gpeto4j@archive.org,79485 Autumn Leaf Terrace,250,193,,12188.88
165,11/13/2021,Ms,82,419.28,refunded,467.92,Batholomew Gaffon,bgaffon4k@slideshare.net,5606 Sunbrook Pass,250,194,,34380.96
166,7/22/2020,Mr,29,922.74,processed,305.24,Anetta Keymar,akeymar4l@t-online.de,6 Loeprich Junction,250,195,,26759.46
167,12/5/2020,Rev,48,28.91,processed,281.02,Verene Damsell,vdamsell4m@techcrunch.com,7 Declaration Place,250,196,,1387.68
168,11/17/2020,Rev,54,920.96,pending,53.94,Sylvan Cleobury,scleobury4n@trellian.com,27057 Melrose Center,250,197,,49731.84
169,10/25/2021,Mr,99,585.15,pending,318.51,Gertie Senussi,gsenussi4o@free.fr,87 Loftsgordon Parkway,250,198,,57929.85
170,2/23/2021,Mrs,86,920.92,processed,171.32,Abie Grigorini,agrigorini4p@miibeian.gov.cn,1678 Blaine Crossing,250,199,,79199.12
171,1/30/2021,Mrs,89,621.89,pending,377.76,Nerissa Recke,nrecke4q@indiegogo.com,170 Talmadge Point,250,200,,55348.21
172,4/3/2021,Rev,16,859.94,refunded,283.04,Starr McVanamy,smcvanamy4r@ca.gov,7 Clove Lane,250,201,,13759.04
173,12/27/2021,Dr,36,960.04,refunded,275.57,Keely Yellowlees,kyellowlees4s@amazon.com,89 Milwaukee Alley,250,202,,34561.44
174,6/9/2021,Dr,22,618.42,refunded,434.17,Lucais Soreau,lsoreau4t@cdc.gov,47403 Shasta Point,250,203,,13605.24
175,5/12/2020,Honorable,78,746.34,processed,309.71,Shep Paulich,spaulich4u@bloglovin.com,0764 Mifflin Avenue,250,204,,58214.52
176,7/29/2020,Mrs,50,482.87,processed,283.45,Pepito Cracoe,pcracoe4v@bandcamp.com,6 Linden Street,250,205,,24143.5
177,12/23/2021,Mr,8,783.11,processed,167.51,Shanon Leinster,sleinster4w@wix.com,0346 Northland Court,250,206,,6264.88
178,10/11/2021,Mr,38,986.24,processed,60.06,Molly Livings,mlivings4x@symantec.com,5390 Debra Trail,250,207,,37477.12
179,7/18/2021,Mr,41,202.27,processed,346.34,Hanson Enticknap,henticknap4y@dmoz.org,2 Paget Way,250,208,,8293.07
180,1/12/2020,Ms,32,120.53,pending,39.67,Renie Sherington,rsherington4z@bloomberg.com,7424 Linden Lane,250,209,,3856.96
181,3/6/2020,Honorable,4,477.7,refunded,14.16,Laurella Roderick,lroderick50@twitpic.com,9717 Springs Pass,250,210,,1910.8
182,2/6/2020,Mr,81,456.08,refunded,409.1,Lorene Bendon,lbendon51@topsy.com,84464 Pine View Place,250,211,,36942.48
183,6/25/2020,Mrs,10,418.72,refunded,230.2,Harlen Joreau,hjoreau52@php.net,33 Coolidge Park,250,212,,4187.2
184,2/17/2020,Rev,16,694.96,processed,14.16,Nickolas Hundal,nhundal53@gizmodo.com,151 Del Mar Lane,250,213,,11119.36
185,4/4/2020,Rev,11,523.48,pending,58.59,Christy Weymouth,cweymouth54@accuweather.com,8 Sycamore Trail,250,214,,5758.28
186,5/28/2020,Mrs,33,215.46,processed,55.26,Blair Wallett,bwallett55@mtv.com,1 Golf Road,250,215,,7110.18
187,9/4/2021,Dr,12,201.84,processed,484.96,Babita Thompsett,bthompsett56@abc.net.au,5825 Arizona Way,250,216,,2422.08
188,6/8/2021,Mr,19,851.32,processed,466.39,Gilemette Kittman,gkittman57@cmu.edu,8 Luster Road,250,217,,16175.08
189,1/4/2020,Dr,19,552.98,refunded,418.4,Cosette Shyres,cshyres58@accuweather.com,2183 Cambridge Avenue,250,218,,10506.62
190,11/30/2020,Dr,92,589.81,processed,366.43,Werner Chapelhow,wchapelhow59@cargocollective.com,4 Novick Circle,250,219,,54262.52
191,12/16/2020,Honorable,100,551.16,pending,299.97,Delphine Fiddian,dfiddian5a@goodreads.com,5 Nobel Center,250,220,,55116
192,6/16/2021,Ms,94,543.48,refunded,148.12,Yul Hathaway,yhathaway5b@slashdot.org,26 Buell Lane,250,221,,51087.12
193,5/3/2020,Rev,53,150.4,refunded,449.03,Sheilakathryn Bannerman,sbannerman5c@furl.net,0 Bonner Hill,250,222,,7971.2
194,3/17/2021,Mr,93,190.96,refunded,5.95,Cathy Stansell,cstansell5d@mac.com,071 Saint Paul Terrace,250,223,,17759.28
195,10/1/2020,Mr,65,185.47,processed,253.7,Granny Jeandet,gjeandet5e@a8.net,957 Crownhardt Parkway,250,224,,12055.55
196,7/26/2020,Rev,89,9.09,processed,131.52,Caroljean Arnau,carnau5f@weather.com,30 Summerview Alley,250,225,,809.01
197,9/27/2021,Dr,90,462.21,refunded,17.49,Renard Iddenden,riddenden5g@who.int,666 Iowa Lane,250,226,,41598.9
198,5/24/2021,Rev,9,7.41,refunded,309.83,Tresa Viles,tviles5h@dailymail.co.uk,1 Elgar Junction,250,227,,66.69
